"filename", "language", "GLSL", "comment", "blank", "total"
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\BindingsCommon.glsl", "GLSL", 9, 4, 9, 22
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\DeferredLighting.fs.glsl", "GLSL", 363, 91, 133, 587
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\DeferredLighting.vs.glsl", "GLSL", 30, 5, 10, 45
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Flatten2dArray.cs.glsl", "GLSL", 41, 9, 17, 67
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\FlattenDepthArray.cs.glsl", "GLSL", 31, 14, 17, 62
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\GBuffer.fs.glsl", "GLSL", 89, 21, 27, 137
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\GBuffer.vs.glsl", "GLSL", 68, 21, 25, 114
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Generators\PerlinNoise.cs.glsl", "GLSL", 77, 6, 19, 102
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\InstancedShapes.fs.glsl", "GLSL", 12, 0, 3, 15
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\InstancedShapes.vs.glsl", "GLSL", 49, 2, 14, 65
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\PBR.fs.glsl", "GLSL", 146, 23, 46, 215
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\PBR.vs.glsl", "GLSL", 29, 7, 11, 47
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Shadows\CascadedShadowPass.vs.glsl", "GLSL", 28, 11, 13, 52
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Shadows\ShadowPass.vs.glsl", "GLSL", 9, 2, 8, 19
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Skybox.fs.glsl", "GLSL", 13, 6, 7, 26
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Skybox.vs.glsl", "GLSL", 18, 9, 9, 36
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\StencilBorder.fs.glsl", "GLSL", 22, 4, 9, 35
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\StencilBorder.vs.glsl", "GLSL", 27, 4, 10, 41
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\IrradianceCommon.glsl", "GLSL", 131, 62, 68, 261
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\MeshCommon.glsl", "GLSL", 0, 0, 1, 1
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeBlending.cs.glsl", "GLSL", 203, 50, 87, 340
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeClassification.cs.glsl", "GLSL", 92, 39, 29, 160
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeCommon.glsl", "GLSL", 242, 128, 98, 468
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeRelocation.cs.glsl", "GLSL", 74, 32, 28, 134
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeTrace.cs.glsl", "GLSL", 281, 64, 93, 438
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\default.fs.glsl", "GLSL", 10, 0, 4, 14
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\default.vs.glsl", "GLSL", 17, 1, 5, 23
"Total", "-", 2111, 615, 800, 3526
