Date : 2025-07-17 01:22:37
Directory : e:\Dev\Games\RaptureVK\Engine\src
Total : 210 files,  18521 codes, 1878 comments, 5941 blanks, all 26340 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        183 |     20,632 |      2,493 |      6,741 |     29,866 |
| GLSL     |         27 |     -2,111 |       -615 |       -800 |     -3,526 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        210 |     18,521 |      1,878 |      5,941 |     26,340 |
| . (Files)                                                                                          |          2 |         26 |         27 |         18 |         71 |
| ..                                                                                                 |         27 |     -2,111 |       -615 |       -800 |     -3,526 |
| ..\assets                                                                                          |         27 |     -2,111 |       -615 |       -800 |     -3,526 |
| ..\assets\shaders                                                                                  |         27 |     -2,111 |       -615 |       -800 |     -3,526 |
| ..\assets\shaders\glsl                                                                             |         27 |     -2,111 |       -615 |       -800 |     -3,526 |
| ..\assets\shaders\glsl (Files)                                                                     |         17 |       -974 |       -221 |       -356 |     -1,551 |
| ..\assets\shaders\glsl\Generators                                                                  |          1 |        -77 |         -6 |        -19 |       -102 |
| ..\assets\shaders\glsl\Shadows                                                                     |          2 |        -37 |        -13 |        -21 |        -71 |
| ..\assets\shaders\glsl\ddgi                                                                        |          7 |     -1,023 |       -375 |       -404 |     -1,802 |
| AccelerationStructures                                                                             |         11 |      1,437 |        134 |        436 |      2,007 |
| AccelerationStructures (Files)                                                                     |          4 |        718 |        102 |        219 |      1,039 |
| AccelerationStructures\CPU                                                                         |          7 |        719 |         32 |        217 |        968 |
| AccelerationStructures\CPU\BVH                                                                     |          7 |        719 |         32 |        217 |        968 |
| AssetManager                                                                                       |         11 |        889 |        100 |        337 |      1,326 |
| Buffers                                                                                            |         24 |      2,433 |        262 |        807 |      3,502 |
| Buffers (Files)                                                                                    |          4 |        597 |         87 |        237 |        921 |
| Buffers\CommandBuffers                                                                             |          4 |        190 |         38 |         75 |        303 |
| Buffers\Descriptors                                                                                |          6 |        952 |         94 |        279 |      1,325 |
| Buffers\IndexBuffers                                                                               |          2 |        138 |          8 |         46 |        192 |
| Buffers\StorageBuffers                                                                             |          2 |        108 |          5 |         44 |        157 |
| Buffers\UniformBuffers                                                                             |          2 |         70 |         10 |         40 |        120 |
| Buffers\VertexBuffers                                                                              |          4 |        378 |         20 |         86 |        484 |
| Cameras                                                                                            |          3 |         51 |          1 |         30 |         82 |
| Cameras (Files)                                                                                    |          1 |          8 |          1 |          8 |         17 |
| Cameras\PerspectiveCamera                                                                          |          2 |         43 |          0 |         22 |         65 |
| Components                                                                                         |         21 |      1,167 |        138 |        453 |      1,758 |
| Components (Files)                                                                                 |          2 |        330 |         40 |        125 |        495 |
| Components\Systems                                                                                 |         19 |        837 |         98 |        328 |      1,263 |
| Components\Systems (Files)                                                                         |          9 |        515 |         61 |        205 |        781 |
| Components\Systems\ObjectDataBuffers                                                               |         10 |        322 |         37 |        123 |        482 |
| Events                                                                                             |          7 |        221 |         41 |         76 |        338 |
| Generators                                                                                         |          5 |         39 |        249 |         15 |        303 |
| Generators\Meshes                                                                                  |          1 |          0 |          0 |          1 |          1 |
| Generators\Textures                                                                                |          4 |         39 |        249 |         14 |        302 |
| Input                                                                                              |          2 |         19 |          1 |         10 |         30 |
| Layers                                                                                             |          3 |         93 |         10 |         29 |        132 |
| Loaders                                                                                            |          2 |        858 |        221 |        254 |      1,333 |
| Loaders\glTF2.0                                                                                    |          2 |        858 |        221 |        254 |      1,333 |
| Logging                                                                                            |          4 |        423 |         69 |        110 |        602 |
| Materials                                                                                          |          6 |        778 |         60 |        265 |      1,103 |
| Meshes                                                                                             |          4 |        321 |         41 |        117 |        479 |
| Physics                                                                                            |          8 |      1,142 |        177 |        425 |      1,744 |
| Physics (Files)                                                                                    |          6 |        619 |         94 |        278 |        991 |
| Physics\Colliders                                                                                  |          2 |        523 |         83 |        147 |        753 |
| Pipelines                                                                                          |          5 |        246 |          9 |        125 |        380 |
| RenderTargets                                                                                      |          3 |        406 |          7 |        107 |        520 |
| RenderTargets\SwapChains                                                                           |          3 |        406 |          7 |        107 |        520 |
| Renderer                                                                                           |         26 |      5,211 |        423 |      1,680 |      7,314 |
| Renderer (Files)                                                                                   |          8 |      1,091 |         29 |        326 |      1,446 |
| Renderer\DeferredShading                                                                           |          6 |      1,242 |         84 |        408 |      1,734 |
| Renderer\ForwardRenderer                                                                           |          2 |        639 |         47 |        189 |        875 |
| Renderer\Frustum                                                                                   |          2 |        115 |         27 |         32 |        174 |
| Renderer\GI                                                                                        |          3 |      1,078 |         98 |        367 |      1,543 |
| Renderer\GI\DDGI                                                                                   |          3 |      1,078 |         98 |        367 |      1,543 |
| Renderer\Shadows                                                                                   |          5 |      1,046 |        138 |        358 |      1,542 |
| Renderer\Shadows (Files)                                                                           |          1 |         25 |          3 |         15 |         43 |
| Renderer\Shadows\CascadedShadowMapping                                                             |          2 |        647 |         87 |        213 |        947 |
| Renderer\Shadows\ShadowMapping                                                                     |          2 |        374 |         48 |        130 |        552 |
| Scenes                                                                                             |          8 |        931 |        125 |        292 |      1,348 |
| Scenes (Files)                                                                                     |          5 |        551 |         68 |        187 |        806 |
| Scenes\Entities                                                                                    |          3 |        380 |         57 |        105 |        542 |
| Shaders                                                                                            |          7 |        946 |        106 |        270 |      1,322 |
| Textures                                                                                           |          3 |      1,112 |         93 |        271 |      1,476 |
| Utils                                                                                              |          7 |        406 |         67 |        131 |        604 |
| WindowContext                                                                                      |         11 |      1,477 |        132 |        483 |      2,092 |
| WindowContext (Files)                                                                              |          3 |        194 |         13 |        103 |        310 |
| WindowContext\GlfwWindowContext                                                                    |          2 |        171 |         23 |         50 |        244 |
| WindowContext\VulkanContext                                                                        |          6 |      1,112 |         96 |        330 |      1,538 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\BindingsCommon.glsl                              | GLSL     |         -9 |         -4 |         -9 |        -22 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\DeferredLighting.fs.glsl                         | GLSL     |       -363 |        -91 |       -133 |       -587 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\DeferredLighting.vs.glsl                         | GLSL     |        -30 |         -5 |        -10 |        -45 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Flatten2dArray.cs.glsl                           | GLSL     |        -41 |         -9 |        -17 |        -67 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\FlattenDepthArray.cs.glsl                        | GLSL     |        -31 |        -14 |        -17 |        -62 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\GBuffer.fs.glsl                                  | GLSL     |        -89 |        -21 |        -27 |       -137 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\GBuffer.vs.glsl                                  | GLSL     |        -68 |        -21 |        -25 |       -114 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Generators\PerlinNoise.cs.glsl                   | GLSL     |        -77 |         -6 |        -19 |       -102 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\InstancedShapes.fs.glsl                          | GLSL     |        -12 |          0 |         -3 |        -15 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\InstancedShapes.vs.glsl                          | GLSL     |        -49 |         -2 |        -14 |        -65 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\PBR.fs.glsl                                      | GLSL     |       -146 |        -23 |        -46 |       -215 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\PBR.vs.glsl                                      | GLSL     |        -29 |         -7 |        -11 |        -47 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Shadows\CascadedShadowPass.vs.glsl               | GLSL     |        -28 |        -11 |        -13 |        -52 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Shadows\ShadowPass.vs.glsl                       | GLSL     |         -9 |         -2 |         -8 |        -19 |
| e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Skybox.fs.glsl                                   | GLSL     |        -13 |         -6 |         -7 |        -26 |
